zone,corridor,start_dow,hour_block,start_week,event_count,high_impact_count,avg_impact_score,avg_duration,peak_hour_pct,rain_pct,fog_pct,avg_visibility,avg_lane_block,road_closure_pct,tech_hub_pct,corroborated_pct,ipl_pct,holiday_pct,current_high_impact,target_next_week_high_impact,ewma_event_count,ewma_high_impact_count,ewma_avg_impact_score,lag1_event_count,lag2_event_count,lag4_event_count,lag1_high_impact_count,lag2_high_impact_count,lag4_high_impact_count,roll3_event_count,event_volatility,event_count_trend,high_impact_trend,bucket_sparsity,zone_enc,corridor_enc,risk_proba,risk_label
South Zone 2,IRR(Thanisandra road),6.0,4.0,1,1,0,0.7238,64.2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0,0.9375,0.37048400000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,7,8,0.21405822853222362,LOW
North Zone 1,Bellary Road 2,3.0,4.0,1,1,1,,,0.0,0.0,1.0,0.5,3.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0,0.75,1.12998,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4,3,0.054176707539816606,LOW
North Zone 1,Bellary Road 1,4.0,16.0,1,1,0,0.0563,7.7,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4,2,0.07412523116479665,LOW
South Zone 2,Non-corridor,1.0,0.0,1,1,1,,,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.75,0.081,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,7,11,0.09484266119847895,LOW
Central Zone 2,Non-corridor,4.0,8.0,1,4,2,0.4504,100.15,0.25,0.0,0.0,1.0,1.75,0.0,0.25,0.25,0.0,0.0,0,0,2.713618628324883,2.025906007622607,0.4545045195607863,1.0,6.0,1.0,1.0,4.0,1.0,3.6666666666666665,2.449489742783178,-5.0,-3.0,0,1,11,0.7183114868436348,HIGH
West Zone 1,Magadi Road,1.0,12.0,1,1,1,,,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,8,9,0.11451727877217159,LOW
Central Zone 2,Mysore Road,1.0,12.0,1,1,1,,,0.0,0.0,1.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.59375,0.8014978947368421,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,10,0.18837790207099006,LOW
South Zone 2,ORR East 1,6.0,4.0,1,2,0,0.1733,35.55,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1.5,1.1875,0.22579999999999997,2.0,1.0,1.0,2.0,0.0,0.0,1.3333333333333333,0.5,1.0,2.0,0,7,12,0.314661847253838,MEDIUM
North Zone 2,Bellary Road 1,4.0,0.0,1,1,1,,,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.125490330716275,0.4139706103342178,0.2118799500747634,1.0,1.0,1.0,0.0,1.0,0.0,1.3333333333333333,0.5,0.0,-1.0,0,5,2,0.3282017379478324,MEDIUM
East Zone 2,Non-corridor,0.0,0.0,1,1,0,0.42,139.7,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,11,0.04060035965784495,LOW
North Zone 2,ORR North 2,2.0,0.0,1,1,1,,,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.53515625,0.95703125,0.3273734791524265,2.0,1.0,1.0,1.0,1.0,0.0,1.3333333333333333,0.5,1.0,0.0,0,5,15,0.3662918125670338,MEDIUM
North Zone 2,Non-corridor,6.0,8.0,1,1,0,0.2498,44.0,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.37890625,0.8427734375,0.13327594741234478,1.0,2.0,1.0,1.0,0.0,1.0,1.6666666666666667,0.5773502691896257,-1.0,1.0,0,5,11,0.1559068018049262,LOW
North Zone 2,Non-corridor,4.0,4.0,1,1,1,,,0.0,0.0,0.0,1.0,2.5,0.0,1.0,0.0,0.0,0.0,0,0,1.03515625,1.021484375,0.548104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,5,11,0.40071404304714753,MEDIUM
Central Zone 2,Non-corridor,1.0,12.0,1,3,1,0.6459,583.75,0.0,0.0,1.0,0.5,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0,0,1.2752685546875,0.63897705078125,0.23561397746239265,1.0,2.0,1.0,0.0,2.0,0.0,1.3333333333333333,0.5,-1.0,-2.0,0,1,11,0.33065388322405487,MEDIUM
Central Zone 2,Non-corridor,1.0,0.0,1,3,3,,,0.0,0.0,0.6666666666666666,0.6666666666666666,1.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1,0,1.856964111328125,1.676666259765625,1.1129507751241614,2.0,2.0,2.0,2.0,2.0,2.0,1.6666666666666667,0.49999999999999944,0.0,0.0,0,1,11,0.647698295872982,HIGH
Central Zone 1,ORR North 1,3.0,0.0,1,1,1,,,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.5,0.4241,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,14,0.12247680787493397,LOW
West Zone 2,Non-corridor,4.0,8.0,1,1,1,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.25,0.875,0.21862105263157897,1.0,1.0,2.0,1.0,0.0,1.0,1.3333333333333333,0.5773502691896257,0.0,1.0,0,9,11,0.09491234411310387,LOW
East Zone 2,ORR East 2,3.0,4.0,1,1,0,0.4519,30.9,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1.5,1.5,2.1645,2.0,1.0,0.0,2.0,1.0,0.0,1.5,0.7071067811865476,1.0,1.0,0,3,13,0.1749258650367669,LOW
South Zone 2,Hosur Road,6.0,8.0,1,1,1,,,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0,0,2.4140892727300525,2.30712776677683,0.9195840010294638,3.0,2.0,3.0,3.0,2.0,2.0,2.0,0.9574271077563382,1.0,1.0,0,7,7,0.07288248400341174,LOW
South Zone 2,Hosur Road,6.0,12.0,1,1,1,,,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.1377735137939453,0.37420447543263435,0.7863424168486842,1.0,1.0,1.0,0.0,0.0,1.0,1.3333333333333333,0.5,0.0,0.0,0,7,7,0.11246076016139402,LOW
Central Zone 2,Mysore Road,3.0,0.0,1,1,0,1.0998,75.2,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1.4536921224134858,0.7661575098791218,0.19929144019772738,1.0,2.0,2.0,0.0,2.0,2.0,1.6666666666666667,0.5,-1.0,-2.0,0,1,10,0.3368853986885263,MEDIUM
West Zone 1,Magadi Road,2.0,8.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.65673828125,1.4501953125,0.37105497529085874,2.0,1.0,1.0,2.0,1.0,1.0,1.6666666666666667,0.5773502691896257,1.0,1.0,0,8,9,0.31197675766898464,MEDIUM
West Zone 1,Magadi Road,1.0,4.0,1,2,0,0.8858,71.05,0.0,0.0,0.0,1.0,2.75,0.0,0.0,0.0,0.0,0.0,0,0,1.25,0.75,0.6431298701298702,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,-1.0,0,8,9,0.37336657167628523,MEDIUM
West Zone 2,Non-corridor,4.0,12.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.71875,0.9616984894259818,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,9,11,0.04883254613112899,LOW
West Zone 2,Non-corridor,1.0,0.0,1,1,1,,,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,11,0.04851273654875473,LOW
West Zone 2,Non-corridor,1.0,4.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9,11,0.04366175580781869,LOW
West Zone 2,Non-corridor,2.0,0.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,9,11,0.047200088912856986,LOW
West Zone 2,Non-corridor,2.0,8.0,1,2,2,,,0.5,0.0,1.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,0,0,2.0,1.0,0.2802,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,9,11,0.14736124632127562,LOW
West Zone 2,Mysore Road,4.0,12.0,1,1,1,2.34,1009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.8125,0.77424,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,9,10,0.09276212564394849,LOW
West Zone 2,Mysore Road,2.0,8.0,1,1,1,,,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1.0,0.5614,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,9,10,0.04243678198034111,LOW
West Zone 2,Mysore Road,3.0,0.0,1,1,0,0.2559,21.0,0.0,0.0,1.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.03125,0.21875,0.4575370389610389,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,9,10,0.2424440753964866,LOW
West Zone 2,Magadi Road,5.0,4.0,1,1,1,,,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.5,0.3115,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,9,9,0.05737858077684247,LOW
West Zone 2,Mysore Road,0.0,12.0,1,1,1,,,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,10,0.0622685258489741,LOW
West Zone 2,Mysore Road,1.0,4.0,1,2,1,0.6572,32.1,0.5,0.0,0.0,1.0,2.0,0.0,0.0,0.5,0.0,0.0,0,0,1.0,0.25,0.09916315789473684,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0,9,10,0.21372662670117382,LOW
East Zone 1,Non-corridor,6.0,4.0,1,1,1,,,0.0,0.0,1.0,0.5,3.0,1.0,1.0,0.0,0.0,0.0,0,0,1.500244140625,1.3703460693359375,1.082528760594015,2.0,1.0,1.0,2.0,1.0,1.0,1.3333333333333333,0.5,1.0,1.0,0,2,11,0.05365480225976049,LOW
East Zone 2,Non-corridor,3.0,20.0,1,1,0,0.201,59.0,0.0,0.0,1.0,0.5,1.5,0.0,1.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,3,11,0.19762250233265555,LOW
East Zone 2,Non-corridor,4.0,0.0,1,1,1,,,0.0,0.0,1.0,0.5,2.5,0.0,1.0,0.0,0.0,0.0,0,0,2.12969970703125,1.5459365844726562,0.19727240770762303,3.0,1.0,1.0,2.0,1.0,0.0,2.0,0.9574271077563381,2.0,1.0,0,3,11,0.21746481147500787,LOW
North Zone 2,Bellary Road 1,5.0,0.0,1,1,1,,,0.0,0.0,1.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0979013483021802,3.026199161348309,0.44194658695892036,5.0,1.0,1.0,5.0,1.0,0.0,2.3333333333333335,2.0,4.0,4.0,0,5,2,0.06425917346782438,LOW
East Zone 1,ORR East 2,4.0,0.0,1,1,1,2.34,726.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0012207702421652,1.000244200290604,2.3579899282647316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,2,13,0.03269159004331568,LOW
West Zone 2,Bellary Road 1,6.0,12.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.111328125,0.4052734375,1.0137069696787422,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0,9,2,0.028995545807988413,LOW
North Zone 2,Tumkur Road,2.0,8.0,1,1,1,,,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5,19,0.07906337835891772,LOW
North Zone 2,Tumkur Road,3.0,0.0,1,1,1,,,0.0,0.0,1.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,5,19,0.06389017088801385,LOW
North Zone 2,ORR North 2,6.0,0.0,1,1,1,,,0.0,0.0,1.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0031814595131436,0.1232923118659528,0.4929023502856651,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,5,15,0.19138366209225202,LOW
Central Zone 2,Magadi Road,2.0,0.0,1,1,1,,,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.3739,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,9,0.07109953339612686,LOW
Central Zone 2,Magadi Road,4.0,4.0,1,1,0,1.2017,98.6,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.25,0.25,0.4329720000000001,1.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.5773502691896257,0.0,0.0,0,1,9,0.32764056580254675,MEDIUM
West Zone 1,Magadi Road,5.0,8.0,1,1,1,,,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0,0,1.2613537916913629,0.98880853690207,1.0160271265592244,1.0,2.0,1.0,1.0,1.0,1.0,1.3333333333333333,0.5,-1.0,0.0,0,8,9,0.05098151703653959,LOW
West Zone 1,Magadi Road,3.0,4.0,1,1,0,0.1531,31.4,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0039443969726562,0.23818206787109375,0.29184803268435905,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,8,9,0.3774070731793718,MEDIUM
East Zone 1,ORR East 2,3.0,0.0,1,1,1,2.34,722.8,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0043985905358568,1.0039102450245991,2.33558710227977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,2,13,0.040283563741359704,LOW
North Zone 1,Airport New South Road,1.0,0.0,1,1,1,1.7774,364.6,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4,0,0.027743890627336884,LOW
East Zone 1,Non-corridor,3.0,8.0,1,2,2,,,0.0,0.0,0.0,1.0,1.75,0.0,1.0,0.0,0.0,0.0,0,0,1.65625,0.640625,0.22020690909090906,2.0,1.0,1.0,1.0,0.0,1.0,1.6666666666666667,0.5773502691896257,1.0,1.0,0,2,11,0.29919579975869964,LOW
Central Zone 2,Non-corridor,4.0,0.0,1,4,1,0.39233333333333337,72.53333333333335,0.0,0.0,0.25,0.875,1.875,0.25,0.0,0.0,0.0,0.0,0,1,2.772606994709143,1.8303864688888827,0.2633163731506861,3.0,1.0,4.0,2.0,1.0,4.0,2.6666666666666665,1.4142135623730916,2.0,1.0,0,1,11,0.7172740121448937,HIGH
Central Zone 2,Non-corridor,5.0,4.0,1,3,2,0.6692,113.7,0.0,0.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0,0,1.626224897199286,1.075623826243176,0.11819685499828822,1.0,3.0,2.0,1.0,1.0,2.0,1.6666666666666667,0.9574271077563384,-2.0,0.0,0,1,11,0.49102557411731723,MEDIUM
North Zone 1,ORR North 2,5.0,0.0,1,1,1,,,0.0,0.0,1.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.8063636363636362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,4,15,0.05158590008642207,LOW
Central Zone 2,Non-corridor,5.0,8.0,1,1,1,,,1.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.2118734619495932,0.6910973089332726,0.260273129955244,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0,1,11,0.5216747502203575,MEDIUM
East Zone 2,Non-corridor,4.0,4.0,1,1,0,0.7656,120.1,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,1.03125,0.9423828125,0.28878093074792244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,3,11,0.16521914359080436,LOW
East Zone 2,Non-corridor,4.0,8.0,1,1,1,,,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,1.04296875,0.711669921875,0.14511626925076937,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,3,11,0.2055564285150214,LOW
East Zone 2,Non-corridor,2.0,8.0,1,1,1,,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1.34375,0.693359375,0.21980101286273535,1.0,1.0,2.0,0.0,1.0,0.0,1.6666666666666667,0.9574271077563381,0.0,-1.0,0,3,11,0.21457527757571015,LOW
East Zone 2,Non-corridor,2.0,12.0,1,1,0,0.1965,26.2,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0,0.4375,0.6419960725075528,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0,3,11,0.2314051668229713,LOW
North Zone 2,Bellary Road 1,6.0,4.0,1,1,0,0.0502,10.3,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.589859491221432,1.2429190575346638,0.2305438720023321,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.9574271077563381,-1.0,0.0,0,5,2,0.046150147435626634,LOW
Central Zone 2,Mysore Road,3.0,4.0,1,1,1,,,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.2536702582146972,0.703528601443395,0.24711132673912548,1.0,1.0,2.0,1.0,0.0,2.0,1.3333333333333333,0.5773502691896257,0.0,1.0,0,1,10,0.543464120596482,MEDIUM
South Zone 2,Hosur Road,3.0,0.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0328445434570312,0.8320751190185547,0.22042767579802694,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,7,7,0.3649253904554287,MEDIUM
Central Zone 2,Mysore Road,3.0,8.0,1,1,1,,,1.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,2.008799737901427,0.42320295082754456,0.6277618300824054,2.0,2.0,3.0,0.0,1.0,2.0,2.0,0.49999999999999994,0.0,-1.0,0,1,10,0.30937234508195466,MEDIUM
West Zone 2,Bellary Road 1,4.0,4.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.125,0.482421875,1.9647551144598336,1.0,1.0,1.0,0.0,1.0,1.0,1.3333333333333333,0.5,0.0,-1.0,0,9,2,0.03605448130541777,LOW
North Zone 1,Bellary Road 2,5.0,8.0,1,1,0,1.0764,73.6,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,1.09375,0.4375,0.5744274094326726,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.5,0.0,-1.0,0,4,3,0.24004616652350907,LOW
North Zone 1,Bellary Road 2,5.0,12.0,1,1,0,0.3807,78.1,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1.5,1.0,0.4027,2.0,1.0,0.0,2.0,0.0,0.0,1.5,0.7071067811865476,1.0,2.0,0,4,3,0.27990601644795415,LOW
East Zone 1,Non-corridor,0.0,4.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,11,0.05702005593725174,LOW
Central Zone 1,Old Madras Road,0.0,0.0,1,1,1,1.8822,99.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,0.027991721732663375,LOW
Central Zone 2,CBD 2,5.0,8.0,1,1,1,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.008056640625,0.507568359375,0.46955187467099413,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0,1,5,0.13159917801890422,LOW
West Zone 1,Mysore Road,2.0,8.0,1,1,1,,,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.75,0.7717,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,8,10,0.16878286898062292,LOW
South Zone 2,Hosur Road,2.0,8.0,1,2,2,,,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.171875,0.8828125,1.1754494736842107,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,0.5,0.0,0.0,0,7,7,0.10865306542938623,LOW
South Zone 2,Hosur Road,2.0,12.0,1,1,1,,,0.0,0.0,1.0,0.5,3.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0,0.3125,0.9443282548476455,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0,7,7,0.04367277653814861,LOW
Central Zone 2,Mysore Road,3.0,12.0,1,1,0,0.0804,6.6,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0,1.3193359375,0.5466766357421875,0.36472103268294614,1.0,2.0,2.0,0.0,1.0,2.0,1.3333333333333333,0.5773502691896257,-1.0,-1.0,0,1,10,0.3606283544676728,MEDIUM
North Zone 2,Bellary Road 1,6.0,8.0,1,1,1,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.3762240393100118,0.991564570686879,0.6985989460133125,1.0,2.0,3.0,1.0,1.0,3.0,1.3333333333333333,0.9574271077563381,-1.0,0.0,0,5,2,0.10587736732688331,LOW
