id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction
FKID000010,unplanned,13.0008457,77.6813712,0,0,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",,water_logging,FALSE,2024-03-07 18:01:40.182+00,NULL,closed,yes,2024-03-14 05:49:58.161494+00,,,woter logging [PERSON] moment ph [PHONE],,,ORR East 2,High,NULL,NULL,NULL,2024-03-07 18:02:16.983926+00,NULL,1,FKUSR00011,FKUSR00001,NULL,NULL,NULL,K.R. Pura,NULL,FKKG000007,NULL,NULL,NULL,FKUSR00011,2024-03-14 05:49:58.160945+00,NULL,NULL,NULL,NULL,NULL
FKID000011,unplanned,12.94457,77.5274017,0,0,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",,vehicle_breakdown,FALSE,2024-01-30 05:21:06.975+00,NULL,closed,yes,2024-01-30 07:35:47.951007+00,,,,private_car,FKN00GL0005,ORR West 1,High,NULL,NULL,NULL,2024-01-30 05:21:50.591304+00,NULL,1,FKUSR00012,FKUSR00001,NULL,NULL,NULL,Byatarayanapura,NULL,FKKG000008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MysoreRd-RingRdJunc(Nayandanahallii)
FKID000012,unplanned,12.9995223,77.6827499,0,0,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",,water_logging,FALSE,2024-03-07 18:00:05.02+00,NULL,active,yes,2024-03-07 19:34:17.374582+00,,,lorry undar pass woter logging trafick swol moment ph [PHONE],,,ORR East 2,High,NULL,NULL,NULL,2024-03-07 18:00:57.261528+00,NULL,1,FKUSR00011,FKUSR00001,NULL,NULL,NULL,Mahadevapura,NULL,FKKG000007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000013,unplanned,13.0418933,77.594705,0,0,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",,others,FALSE,2023-12-26 19:15:28.124+00,NULL,closed,yes,2024-03-07 19:10:20.40342+00,,,Starting problem,,,ORR North 1,High,NULL,NULL,NULL,2023-12-26 19:16:09.549364+00,NULL,1,FKUSR00013,FKUSR00001,NULL,NULL,NULL,Hebbala,NULL,FKKG000009,NULL,NULL,NULL,FKUSR00013,2024-03-07 19:10:20.402869+00,NULL,NULL,Bengaluru North Corporation,North Zone 1,HebbalFlyoverJunc
FKID000014,unplanned,12.975285,77.6256902,0,0,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",,pot_holes,FALSE,2024-03-07 19:26:15.604+00,NULL,active,yes,2024-03-07 19:32:11.890707+00,,,traffic slow moving and accident happening,,,Old Madras Road,High,NULL,NULL,NULL,2024-03-07 19:28:21.681907+00,NULL,1,FKUSR00014,FKUSR00001,NULL,NULL,NULL,Halasur,NULL,FKKG000010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000015,unplanned,13.0633917,77.5933483,0,0,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",,others,FALSE,2024-03-07 19:10:21.93+00,NULL,active,yes,2024-03-07 19:11:49.766858+00,,,ಟೈರ್ ಪಂಚರ್,,,Bellary Road 2,High,NULL,NULL,NULL,2024-03-07 19:11:02.983156+00,NULL,1,FKUSR00013,FKUSR00001,NULL,NULL,NULL,Kodigehalli,NULL,FKKG000009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000016,unplanned,13.063425,77.5933,0,0,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",,others,FALSE,2024-03-07 19:11:15.565+00,NULL,active,yes,2024-03-07 19:16:44.728097+00,,,tyear blost,,,Bellary Road 2,High,NULL,NULL,NULL,2024-03-07 19:11:57.171334+00,NULL,1,FKUSR00013,FKUSR00001,NULL,NULL,NULL,Kodigehalli,NULL,FKKG000009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000017,unplanned,13.0254527,77.6417388,0,0,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",,others,FALSE,2024-03-07 19:18:29.89+00,NULL,active,yes,2024-03-07 19:28:56.872687+00,,,[LOCATION] parked at ring road sir traffic little bit slow sir,,,ORR North 1,High,NULL,NULL,NULL,2024-03-07 19:20:02.091296+00,NULL,1,FKUSR00015,FKUSR00001,NULL,NULL,NULL,Hennuru,NULL,FKKG000011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000018,unplanned,12.9233517,77.5904883,0,0,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",,tree_fall,FALSE,2024-03-07 19:39:29.764+00,NULL,closed,yes,2024-03-08 00:32:50.465117+00,,,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,,,Non-corridor,Low,NULL,NULL,NULL,2024-03-07 19:44:04.840279+00,NULL,1,FKUSR00016,FKUSR00001,NULL,NULL,NULL,Jayanagara,NULL,FKKG000012,NULL,NULL,NULL,FKUSR00016,2024-03-08 00:32:50.46445+00,NULL,NULL,NULL,NULL,NULL
FKID000019,unplanned,13.0001393,77.5840594,0,0,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",,vehicle_breakdown,FALSE,2024-01-30 04:49:17.231+00,NULL,closed,yes,2024-01-30 07:35:47.924053+00,,,KSRTC bus mechanic [PERSON] sir that's why vehicle not moving,ksrtc_bus,FKN00GL0006,Bellary Road 1,High,NULL,NULL,NULL,2024-01-30 04:51:12.899255+00,NULL,1,FKUSR00017,FKUSR00001,NULL,NULL,NULL,Sadashivanagar,NULL,FKKG000013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000020,unplanned,12.9071221,77.6286395,0,0,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",,vehicle_breakdown,FALSE,2024-03-07 19:25:04.302+00,NULL,closed,no,2024-03-07 19:52:19.227656+00,,,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,heavy_vehicle,FKN00GL0007,Hosur Road,High,NULL,NULL,NULL,2024-03-07 19:27:14.960257+00,NULL,1,FKUSR00018,FKUSR00001,NULL,NULL,NULL,Madiwala,NULL,FKKG000014,NULL,NULL,NULL,FKUSR00018,2024-03-07 19:52:19.227138+00,NULL,NULL,NULL,NULL,NULL
FKID000021,unplanned,12.927375,77.5806883,12.9273528,77.580685,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)","5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",tree_fall,TRUE,2024-03-07 19:45:16.034+00,NULL,closed,yes,2024-03-09 20:33:47.283363+00,,,,,,Non-corridor,Low,NULL,NULL,NULL,2024-03-07 19:47:58.459881+00,NULL,1,FKUSR00019,FKUSR00001,NULL,NULL,NULL,Jayanagara,NULL,FKKG000015,NULL,NULL,NULL,FKUSR00019,2024-03-09 20:33:47.282786+00,NULL,NULL,NULL,NULL,NULL
FKID000022,unplanned,12.9169074,77.5950955,0,0,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",,pot_holes,FALSE,2024-01-05 22:35:41.185+00,NULL,closed,yes,2024-03-07 19:48:05.331866+00,,,,,,Non-corridor,Low,NULL,NULL,NULL,2024-01-05 22:36:57.627179+00,NULL,1,FKUSR00019,FKUSR00001,NULL,NULL,NULL,Jayanagara,NULL,FKKG000015,NULL,NULL,NULL,FKUSR00019,2024-03-07 19:48:05.33121+00,NULL,NULL,Bengaluru South Corporation,South Zone 1,28thMainJayanagarJunc
FKID000023,unplanned,12.9667047,77.6615983,0,0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,FALSE,2024-01-30 08:32:47.117+00,NULL,active,yes,2024-01-30 08:47:37.169905+00,,,A,,,NULL,Low,NULL,NULL,NULL,2024-01-30 08:33:47.540206+00,NULL,1,FKUSR00020,FKUSR00001,NULL,NULL,NULL,Jeevanbheemanagar,NULL,FKKG000016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000024,unplanned,12.8966387,77.7202071,0,0,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",,water_logging,FALSE,2024-03-07 19:55:24.461+00,NULL,active,yes,2024-03-07 20:06:27.230358+00,,,water logging with drainage leakage near [LOCATION] bus stop [LOCATION] road.,,,Non-corridor,Low,NULL,NULL,NULL,2024-03-07 19:59:11.246383+00,NULL,1,FKUSR00021,FKUSR00001,NULL,NULL,NULL,Whitefield,NULL,FKKG000017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000025,unplanned,12.9463911,77.597326,12.9465181,77.5973857,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)","12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",tree_fall,TRUE,2024-03-07 06:09:19.361+00,NULL,closed,no,2024-03-07 20:12:38.80305+00,,,no,,,Non-corridor,Low,NULL,NULL,NULL,2024-03-07 06:10:16.176379+00,NULL,1,FKUSR00022,FKUSR00001,NULL,NULL,NULL,Wilson Garden,NULL,FKKG000018,NULL,NULL,NULL,FKUSR00022,2024-03-07 20:12:38.802518+00,NULL,NULL,NULL,NULL,NULL
FKID000026,unplanned,12.9856042,77.5977438,0,0,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,pot_holes,FALSE,2024-01-30 08:35:04.399+00,NULL,active,yes,2024-01-30 08:46:04.959405+00,,,Chamber hole,,,NULL,High,NULL,NULL,NULL,2024-01-30 08:35:50.025285+00,NULL,1,FKUSR00023,FKUSR00001,NULL,NULL,NULL,Shivajinagar,NULL,FKKG000019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000027,unplanned,12.9077383,77.6005709,0,0,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",,vehicle_breakdown,FALSE,2024-01-30 08:12:47.138+00,NULL,closed,yes,2024-01-30 10:35:47.849552+00,,,Bmtc bus offload due to gear box problem,bmtc_bus,FKN00GL0008,Bannerghata Road,High,NULL,NULL,NULL,2024-01-30 08:14:16.420314+00,NULL,1,FKUSR00024,FKUSR00001,NULL,NULL,NULL,Mico Layout,NULL,FKKG000020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000028,unplanned,12.9635109,77.6642122,0,0,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",,pot_holes,FALSE,2024-01-30 08:25:57.212+00,NULL,closed,yes,2024-01-30 08:35:01.9992+00,,,A,,,NULL,Low,NULL,NULL,NULL,2024-01-30 08:28:51.106311+00,NULL,1,FKUSR00020,FKUSR00001,NULL,NULL,NULL,HAL Old Airport,NULL,FKKG000016,NULL,NULL,NULL,FKUSR00020,2024-01-30 08:35:01.998607+00,NULL,NULL,NULL,NULL,NULL
FKID000029,unplanned,12.9667073,77.6615616,0,0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,FALSE,2024-01-30 08:31:37.367+00,NULL,active,yes,2024-01-30 08:33:45.400802+00,,,A,,,NULL,Low,NULL,NULL,NULL,2024-01-30 08:32:13.484988+00,NULL,1,FKUSR00020,FKUSR00001,NULL,NULL,NULL,Jeevanbheemanagar,NULL,FKKG000016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000030,unplanned,12.9666867,77.6616478,0,0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,FALSE,2024-01-30 08:33:55.212+00,NULL,active,yes,2024-01-30 08:47:01.481646+00,,,,,,Non-corridor,Low,NULL,NULL,NULL,2024-01-30 08:34:48.349991+00,NULL,1,FKUSR00020,FKUSR00001,NULL,NULL,NULL,Jeevanbheemanagar,NULL,FKKG000016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000031,unplanned,12.907814,77.6006561,12.9075245,77.6003865,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)","Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,TRUE,2024-01-30 08:08:05.581+00,NULL,closed,yes,2024-01-30 10:35:47.87457+00,,,GD mara to [PERSON],bmtc_bus,FKN00GL0009,Bannerghata Road,High,NULL,NULL,NULL,2024-01-30 08:11:01.60818+00,NULL,1,FKUSR00024,FKUSR00001,NULL,NULL,NULL,Mico Layout,NULL,FKKG000020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000032,unplanned,12.8955737,77.5993711,0,0,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",,vehicle_breakdown,FALSE,2024-01-30 05:43:18.534+00,NULL,closed,yes,2024-01-30 08:35:47.752866+00,,,Near hsbc junction lgv vehicle off road due to clutch plate got broken have left side no problem to traffic from hsbc to arakere junction sir,lcv,FKN00GL0010,Bannerghata Road,High,NULL,NULL,NULL,2024-01-30 05:44:59.860926+00,NULL,1,FKUSR00025,FKUSR00001,NULL,NULL,NULL,J.P. Nagar,NULL,FKKG000021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000033,unplanned,12.92757,77.5832051,0,0,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",,tree_fall,FALSE,2024-03-07 20:06:03.523+00,NULL,closed,yes,2024-03-09 20:33:44.935916+00,,,,,,Non-corridor,Low,NULL,NULL,NULL,2024-03-07 20:06:37.915099+00,NULL,1,FKUSR00019,FKUSR00001,NULL,NULL,NULL,Jayanagara,NULL,FKKG000015,NULL,NULL,NULL,FKUSR00019,2024-03-09 20:33:44.935343+00,NULL,NULL,NULL,NULL,NULL
FKID000034,unplanned,13.044697,77.5828546,0,0,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",,congestion,FALSE,2024-01-30 05:38:15.485+00,NULL,closed,no,2024-01-30 08:35:47.778254+00,,,BWSSB AND KRIDE WORK AT [LOCATION] hebbal circle to bhadrapp layout sir,,,ORR North 2,High,NULL,NULL,NULL,2024-01-30 05:39:28.665706+00,NULL,1,FKUSR00026,FKUSR00026,NULL,NULL,NULL,Kodigehalli,NULL,FKKG000022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000035,unplanned,12.9666885,77.6616396,0,0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,FALSE,2024-01-30 08:35:57.672+00,NULL,active,yes,2024-01-30 08:44:26.910097+00,,,A,,,NULL,Low,NULL,NULL,NULL,2024-01-30 08:36:54.308956+00,NULL,1,FKUSR00020,FKUSR00001,NULL,NULL,NULL,Jeevanbheemanagar,NULL,FKKG000016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000036,unplanned,12.9789228,77.5644032,0,0,"Magadi Road, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",,vehicle_breakdown,FALSE,2024-03-07 20:17:50.952+00,NULL,closed,yes,2024-03-07 22:35:48.225065+00,,,traffic normal sir.,bmtc_bus,FKN00GL0011,Magadi Road,High,NULL,NULL,NULL,2024-03-07 20:19:21.251912+00,NULL,1,FKUSR00027,FKUSR00001,NULL,NULL,NULL,Magadi Road,NULL,FKKG000023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000037,unplanned,12.8636494,77.6725849,NULL,NULL,"Doddanagamangala Road, Sri Rajarajeshwari Nagar, Doddanagamangala, Bengaluru, Karnataka. Pin-560100 (India)",NULL,accident,FALSE,2024-01-30 03:52:59.126038+00,NULL,closed,yes,2024-01-30 09:35:47.939277+00,,NULL,NULL,NULL,NULL,Non-corridor,Low,NULL,NULL,NULL,2024-01-30 08:53:47.147922+00,NULL,1,FKUSR00028,FKUSR00028,FKUSR00028,FKUSR00029,NULL,Electronic City,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000038,unplanned,12.9219483,77.6002467,0,0,"Bannerghatta Main Road, Opulent Spire, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",,vehicle_breakdown,FALSE,2024-01-30 15:15:10.139+00,NULL,closed,yes,2024-01-30 17:35:48.089355+00,,,One garage vehical stopped on road due to break down,heavy_vehicle,FKN00GL0012,Bannerghata Road,High,NULL,NULL,NULL,2024-01-30 15:18:28.719881+00,NULL,1,FKUSR00030,FKUSR00001,NULL,NULL,NULL,Mico Layout,NULL,FKKG000024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000039,unplanned,12.9666597,77.661556,0,0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,FALSE,2024-01-30 08:37:16.322+00,2024-01-30 05:38:46+00,active,yes,2024-01-30 08:43:58.647514+00,,,Pc18977,,,NULL,Low,NULL,NULL,NULL,2024-01-30 08:40:15.935486+00,NULL,1,FKUSR00020,FKUSR00001,NULL,NULL,NULL,Jeevanbheemanagar,NULL,FKKG000016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FKID000040,planned,12.946469,77.6986754,0,0,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,FALSE,2024-01-30 11:31:12.848+00,2024-01-30 11:31:46+00,closed,no,2024-01-30 11:35:47.865142+00,,,[LOCATION] works going on sir,,,ORR East 1,High,NULL,NULL,NULL,2024-01-30 11:32:15.765069+00,NULL,1,FKUSR00031,FKUSR00031,NULL,NULL,NULL,HAL Old Airport,NULL,FKKG000025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
